ubigeo,population_weighted_mean_t_min,total_population,n_demand_points,pct_population_unroutable
080904,21.10789906705613,480.6976744186046,10.0,0.0
080905,102.59389732675379,790.5096153846155,10.0,0.0
080906,82.16565520348678,2624.7042253521126,33.0,0.0
080907,17.54669994352846,5376.673684210526,23.0,0.0
080908,74.07790376273634,309.4300518134715,10.0,0.0
080909,76.77405757647037,1101.484745762712,25.0,0.0
080910,34.2064518031539,9211.198019801981,32.0,0.0
081001,58.32957131150357,817.3825503355705,9.0,0.0
081002,106.83527924586252,559.5217391304348,8.0,0.0
081003,115.57591202384533,294.7978723404255,9.0,0.0
081004,88.78162809366079,17.833333333333332,1.0,0.0
081005,61.09781284114581,182.5125,6.0,0.0
081006,106.65347492701835,725.7333333333332,14.0,0.0
081007,60.97288919469265,167.34117647058824,7.0,0.0
081008,97.78460120213148,109.92857142857142,3.0,0.0
081009,29.462492925276546,172.2985074626866,6.0,0.0
081101,99.19344726282789,2826.4285714285716,21.0,0.0
081102,34.574051327631096,199.70588235294116,5.0,0.0
081103,125.50770814905255,749.6,20.0,0.0
081104,67.11751363863182,1441.7647058823532,18.0,0.0
081105,48.15998487633043,1617.468085106383,13.0,0.0
081106,194.7374229973622,260.9185185185185,8.0,0.0
081201,32.3832052442911,4884.3185840707965,23.0,0.0
081202,25.66105968103875,2898.5000000000014,15.0,0.0
081203,177.06672115258408,363.1090909090909,9.0,0.0
081204,99.7165962911757,95.43333333333334,4.0,0.0
081205,59.61214283593218,2513.4825870646764,29.0,0.0
081206,51.83159809699582,739.7628865979382,8.0,0.0
081207,36.69825157653287,1162.5806451612902,7.0,0.0
081208,26.097088977412014,1049.4683544303798,9.0,0.0
081209,141.8840323426247,181.98591549295782,12.0,0.0
081210,86.96231390532924,1005.6195899772212,29.0,0.0
081211,15.839646736066973,4553.357142857142,18.0,0.0
081212,61.76883168790412,1333.677419354839,24.0,0.0
081301,45.02585682805539,11203.642105263158,24.0,0.0
081302,23.169066231105838,4776.279411764706,22.0,0.0
081303,48.21392062916748,1350.6315789473683,5.0,0.0
081304,46.90176658519932,1782.3333333333333,9.0,0.0
081305,39.06160214837875,1868.7428571428566,13.0,0.0
081306,63.44736864622555,1288.5211267605634,18.0,0.0
081307,44.26456716859818,1432.4444444444446,3.0,0.0
140101,1.6340478152901603,270496.0000000002,90.0,0.0
140102,47.73393225764198,16914.21052631579,61.0,0.0
140103,15.065497584686554,11993.0,16.0,0.0
140104,17.7519217908935,2342.0,3.0,0.0
140105,4.336985325122044,156498.0,46.0,0.0
140106,5.894967807450448,90912.0,40.0,0.0
140107,32.755204234396885,8631.966101694916,42.0,0.0
140108,11.239659992917527,32224.99999999999,61.0,0.0
140109,64.16892548686978,1755.7142857142856,6.0,0.0
140110,82.93406742221215,5348.478260869565,36.0,0.0
140111,11.78992129862004,12704.0,18.0,0.0
140112,5.3449773402878895,44044.475000000006,70.0,1.2658227848101298
140113,12.031443974628816,15329.68421052631,28.0,0.0
140114,16.02000251479989,12350.000000000002,8.0,0.0
140115,34.719139961168935,10606.826086956522,33.0,0.0
140116,43.656406372863884,14120.20930232558,32.0,0.0
140117,21.820232685109584,20978.61818181818,42.0,0.0
140118,8.613101448978815,25267.0,23.0,0.0
140119,30.06732208646634,6525.749999999999,27.0,0.0
140120,15.96856226591567,27781.999999999996,34.0,0.0
140201,20.51900421013775,33826.305882352935,55.0,0.0
140202,183.176198037449,7488.188235294119,47.0,0.0
140203,159.01565381904211,7258.95238095238,68.0,0.0
140204,26.499989532931476,1875.582089552239,24.0,0.0
140205,41.73298615961484,17030.866666666672,82.0,0.0
140206,17.541158063786465,13514.15909090909,32.0,0.0
140301,7.5016676565588,70891.9776119403,104.0,0.0
140302,62.9497388222867,791.4375,9.0,0.0
140303,22.43515580083585,8096.914285714283,23.0,0.0
140304,39.89382972506237,13572.044444444442,62.0,0.0
140305,17.494397436002767,16438.22666666667,58.0,0.0
140306,24.957932573618685,47766.715596330294,99.0,0.0
140307,55.60218927050769,27021.28301886792,87.0,0.0
140308,98.34063520825644,37328.06060606059,203.0,0.0
140309,27.792391781277093,5715.27272727273,30.0,0.0
140310,97.81163920179917,5190.247252747253,66.0,0.0
140311,10.763159545462882,15846.000000000005,21.0,0.0
140312,22.253059221422625,19457.484375,48.0,0.0
160101,6.551697526072268,145781.08029197075,37.0,0.0
160102,62.1113399664819,583.9772727272727,9.0,0.0
160103,40.83834325534266,3738.77245508982,36.0,0.0
160104,9.063617085472675,2070.3870967741937,19.0,0.0
160105,3.229358688533314,2573.359223300971,24.0,0.0
160106,0.0,4581.844036697248,32.0,0.0
160107,0.0010227414001993916,6232.015384615387,45.0,0.0
160108,4.023623590592962,68809.14893617018,77.0,0.0
160110,0.0,877.9245283018865,11.0,0.0
160112,7.642243257161729,56777.47826086955,72.0,0.0
160113,32.22406840968977,122532.99295774644,128.0,0.0
160201,0.17985869334194496,66312.6984126984,121.0,0.0
160202,2.6875165442594264,3904.4181818181814,38.0,0.0
160205,25.262655516038592,990.4761904761906,7.0,0.0
160206,22.854616465869913,5730.0,31.0,0.0
160210,0.2345982956634064,536.0810810810812,10.0,0.0
160211,1.2638627698884353,2177.2173913043484,18.0,0.0
160301,14.589693678102075,16186.908045977014,65.0,0.0
160302,25.5039340903961,3362.763157894736,12.0,0.0
160303,64.21482536601907,2032.521739130434,20.0,0.0
160304,48.1271021481083,3434.727272727273,18.0,0.0
160305,25.600445520139097,2634.4295302013425,25.0,0.0
160401,2.307913066075388,10273.928571428574,46.0,0.0
160402,6.698875583829957,2692.8125,26.0,0.0
