demand_id,t_min_car,routable_car,t_min_foot,routable_foot,t_min_bike,routable_bike,department
129480,9.950767057837675,True,80.12260582197155,True,30.045977183239327,True,Lambayeque
129481,,,76.62022044790628,True,28.732582667964827,True,Lambayeque
129482,22.529482756859146,True,316.37199344292395,True,118.63949754109652,True,Lambayeque
129483,10.07970676812558,True,116.15412756133843,True,42.94082660382376,True,Lambayeque
129484,6.879433938139141,True,65.34362767591533,True,25.61386068815883,True,Lambayeque
129485,24.278890987918555,True,258.18003316494946,True,96.81751243685598,True,Lambayeque
129488,28.818327647071094,True,302.75473634575434,True,113.53302612965793,True,Lambayeque
129489,17.428510375778412,True,222.96914793829038,True,83.61343047685878,True,Lambayeque
129492,45.665346069108416,True,558.4450192324101,True,209.41688221215372,True,Lambayeque
129493,16.906796376515523,True,228.96294432958547,True,85.86110412359444,True,Lambayeque
129494,13.798680571189964,True,222.43731215797226,True,83.41399205923962,True,Lambayeque
129495,17.69864088886361,True,231.3828394404768,True,86.76856479017869,True,Lambayeque
129497,10.322430348782815,True,142.62905100603524,True,53.48589412726322,True,Lambayeque
129498,29.32375720068131,True,307.9826941083342,True,115.60192037662998,True,Lambayeque
129499,18.156849357768774,True,233.8649846151693,True,87.69936923068845,True,Lambayeque
129500,10.093740061144333,True,173.12003944561877,True,64.92001479210704,True,Lambayeque
129501,16.123045956722397,True,192.56190475698077,True,72.21071428386773,True,Lambayeque
129502,30.789267391383326,True,329.4693317253847,True,123.55099939701931,True,Lambayeque
129503,10.01016498985979,True,174.03574376725848,True,65.26340391272194,True,Lambayeque
129504,15.344470938092346,True,222.6216029578891,True,83.48310110920839,True,Lambayeque
129505,11.144258065930222,True,149.24039496861158,True,55.96514811322935,True,Lambayeque
129508,17.243361385923315,True,208.71817557616063,True,78.2693158410602,True,Lambayeque
129510,21.627524889262794,True,271.05670249937384,True,101.64626343726513,True,Lambayeque
129511,25.06849773507018,True,271.58277203682513,True,101.84353951380935,True,Lambayeque
129512,22.764930731560263,True,281.16697665312927,True,105.43761624492338,True,Lambayeque
129513,16.741649034082283,True,231.23324052179225,True,86.71246519567208,True,Lambayeque
129515,11.897671347700241,True,187.11986337823834,True,70.1699487668394,True,Lambayeque
129516,12.705073563487025,True,219.73838860413449,True,82.40189572655049,True,Lambayeque
129517,14.143272240936557,True,205.82881815102053,True,77.18580680663261,True,Lambayeque
129518,20.82877350442332,True,231.69853195545662,True,86.88694948329622,True,Lambayeque
129519,12.45071325925736,True,168.89199055028334,True,63.33449645635623,True,Lambayeque
129520,32.60101259049197,True,501.7266522174623,True,188.14749458154859,True,Lambayeque
129521,50.577377115057175,True,582.9934468947589,True,218.6225425855346,True,Lambayeque
129522,22.35386047042415,True,352.39054788661673,True,132.14645545748135,True,Lambayeque
129523,29.65065685234882,True,364.92398153799866,True,136.84649307674974,True,Lambayeque
129524,20.850198213123573,True,343.7188087608047,True,128.89455328530178,True,Lambayeque
129525,16.626069024844124,True,196.06236691955147,True,73.52338759483177,True,Lambayeque
129526,25.735672573995565,True,266.0768026281434,True,99.7788009855537,True,Lambayeque
129528,0.9635599088456105,True,11.579926334648587,True,4.575801976860999,True,Lambayeque
129529,11.179553841206218,True,107.04700842822959,True,40.14262816058605,True,Lambayeque
129530,20.03042840299021,True,248.09961147405832,True,93.03735430277189,True,Lambayeque
129531,1.630603349597169,True,13.945836366981958,True,5.463018238986014,True,Lambayeque
129532,2.999789420346421,True,36.843264318235825,True,14.490388621510466,True,Lambayeque
129533,3.4461694388987065,True,42.79382031773691,True,16.047682619151335,True,Lambayeque
129534,11.621754139376801,True,171.34588633775363,True,64.25470737665758,True,Lambayeque
129535,29.0622240679772,True,380.3447024731798,True,142.6292634274425,True,Lambayeque
129536,5.9983503551744635,True,52.04781872368076,True,19.517932021380297,True,Lambayeque
129537,11.96274388113727,True,152.25119510811112,True,57.09419816554168,True,Lambayeque
129538,3.09620574219131,True,34.09961589559537,True,12.787355960848263,True,Lambayeque
129539,17.95998153598779,True,217.50768771386387,True,81.7987124940667,True,Lambayeque
129540,18.07477613003643,True,305.67665127721494,True,114.62874422895557,True,Lambayeque
129541,2.9931383623782044,True,36.813976043765294,True,13.80524101641199,True,Lambayeque
129542,9.573636937338444,True,79.41885532861212,True,29.64492662257887,True,Lambayeque
129543,1.4236280993177828,True,9.903054382683365,True,3.7136453935062614,True,Lambayeque
129544,13.790570290535413,True,117.88873678634997,True,44.20827629488124,True,Lambayeque
129545,3.7151265471214,True,22.473694659281072,True,8.251851693975311,True,Lambayeque
129546,20.086656234688125,True,276.27761076784,True,103.60410403793985,True,Lambayeque
129547,17.809054113903724,True,142.72672971129887,True,53.52252364173707,True,Lambayeque
129548,17.817351328501392,True,232.34763139269913,True,86.51339054058404,True,Lambayeque
129549,20.579501592976502,True,343.94412867627983,True,128.97904825360493,True,Lambayeque
129550,28.723022002746905,True,391.44882313692864,True,146.7933086763483,True,Lambayeque
129551,48.22446405357736,True,564.5363563528725,True,211.70113363232727,True,Lambayeque
129552,37.50294039666988,True,578.9639259491391,True,217.11147223092743,True,Lambayeque
129553,30.543145413448773,True,513.3986976780386,True,192.52451162926474,True,Lambayeque
129554,16.93420488183209,True,210.10497440058563,True,79.06603435825363,True,Lambayeque
129555,11.61088560673579,True,97.95469111872033,True,36.73300916952011,True,Lambayeque
129556,15.344377350241608,True,246.71889765798477,True,92.51958662174434,True,Lambayeque
129557,5.999148451456042,True,73.06090975128015,True,27.397841156730063,True,Lambayeque
129558,3.8489932122212767,True,33.97425237784846,True,12.740344641693172,True,Lambayeque
129559,11.239260284062441,True,132.0419065595705,True,49.52381193110701,True,Lambayeque
129560,19.79250764871502,True,324.7625570403104,True,121.78595889011636,True,Lambayeque
129561,16.35861432198002,True,96.91921348659437,True,36.344705057472886,True,Lambayeque
129562,11.600511003115255,True,135.1347248687155,True,50.67552182576832,True,Lambayeque
129563,10.22276241438228,True,89.22913428820989,True,33.460925358078704,True,Lambayeque
129564,11.20666423685654,True,114.56015834195702,True,42.960059378233886,True,Lambayeque
129565,10.61471431876632,True,86.66732825950403,True,32.50024809731401,True,Lambayeque
129566,10.560709583045918,True,110.11223027190286,True,41.29208635196357,True,Lambayeque
