demand_id,facility_id,distance_m,straight_line_m,detour_factor
129672,23939,5612.774011840723,5150.431042543115,1.0897678204947518
129673,618,7331.968484573033,6225.0573242968585,1.1778154164068206
129674,34890,10846.10369719309,6785.726157726121,1.5983703799841507
129675,34890,14367.274278506979,8239.550868306198,1.7436962897785295
129676,618,7746.265489518128,6328.451094669175,1.224038137237603
129677,618,5880.11314692593,5165.478602493423,1.138348176311784
129678,8311,5587.473858350295,4156.811927523888,1.344172879545844
129679,34890,16124.909994134485,9249.295223160096,1.7433663436061542
129680,34890,14523.567515150477,8380.712051954797,1.7329753635626775
129681,34890,14632.939807881106,8475.459147672073,1.7265070308197155
129682,34890,10851.704562707884,7694.637342684559,1.4102944790536243
129683,8311,6115.503111140796,5602.094263410971,1.0916458780572578
129684,618,4975.088666486379,4280.212768583777,1.162346111156647
129685,8311,6115.503111140796,5594.031830050871,1.093219219506154
129686,618,5533.4171173449595,5070.9614856176295,1.0911968337836833
129687,8311,5554.442887429379,5030.227445443124,1.104213069423161
129688,8311,5209.662850235016,3073.4393383662773,1.6950595982819279
129689,8311,5244.847074143648,4834.887767020353,1.0847918973258701
129690,8311,4826.976384235616,4367.851016500857,1.105114704233335
129691,21545,16551.119232353438,10630.67657457359,1.5569205888494755
129692,618,3176.43698095565,3073.877328936021,1.0333649137700394
129693,21545,20160.404371708468,18869.934165051287,1.068387636934486
129694,618,4651.37710983089,3190.938423965983,1.4576831301087105
129695,8311,5313.8416973901485,3117.3413089553137,1.7046069617480955
129696,21545,23431.46909169528,21804.75051555485,1.0746038609788255
129697,21545,11466.68700945761,6990.891674764625,1.6402323970845505
129698,21545,16527.609355818975,13459.462948486605,1.227954593662101
129699,21545,18752.770865860362,17229.19783585766,1.0884297135895566
129700,34890,9224.239479135933,6400.118889734008,1.4412606450064394
129701,8311,2800.9378725025936,2707.0996427760538,1.0346637516564818
129702,8311,3866.465914838477,1965.3757256337503,1.9672909685458264
129703,21545,11577.025308615008,8719.023410054851,1.3277892218140261
129704,8311,10871.226088085477,7274.912689500184,1.494344544337394
129705,8311,3329.348122866039,1854.2071517499187,1.7955642764746902
